INSEE_COM;CLPE
02139;Laon
02140;Laon
02141;Vervins
02142;Saint-Quentin
02143;Saint-Quentin
02144;Saint-Quentin
02145;Laon
02146;Château-Thierry
02148;Soissons
02149;Saint-Quentin
02150;Laon
02151;Laon
02152;Soissons
02153;Laon
02154;Soissons
02155;Laon
02156;Laon
02157;Laon
02158;Laon
02159;Laon
02160;Vervins
02162;Château-Thierry
02163;Château-Thierry
02164;Château-Thierry
02165;Laon
02166;Château-Thierry
02167;Soissons
02168;Château-Thierry
02169;Laon
02170;Saint-Quentin
02171;Laon
02172;Soissons
02173;Laon
02174;Soissons
02175;Soissons
02176;Soissons
02177;Laon
02178;Laon
02179;Soissons
02180;Laon
02181;Vervins
02182;Vervins
02183;Laon
02184;Saint-Quentin
02185;Château-Thierry
02186;Château-Thierry
02187;Château-Thierry
02188;Vervins
02189;Laon
02190;Soissons
02191;Laon
02192;Soissons
02193;Château-Thierry
02194;Laon
02195;Soissons
02196;Laon
02197;Vervins
02198;Soissons
02199;Saint-Quentin
02200;Vervins
02201;Soissons
02203;Château-Thierry
02204;Vervins
02205;Laon
02206;Vervins
02207;Laon
02208;Laon
02209;Château-Thierry
02210;Soissons
02211;Laon
02212;Laon
02213;Château-Thierry
02214;Saint-Quentin
02215;Laon
02216;Soissons
02217;Laon
02218;Laon
02219;Laon
02220;Château-Thierry
02221;Château-Thierry
02222;Laon
02223;Château-Thierry
02224;Soissons
02225;Château-Thierry
02226;Soissons
02227;Château-Thierry
02228;Château-Thierry
02229;Laon
02230;Soissons
02231;Laon
02232;Soissons
02233;Soissons
02234;Laon
02235;Laon
02236;Laon
02237;Laon
02238;Laon
02239;Château-Thierry
02240;Saint-Quentin
02241;Château-Thierry
02242;Château-Thierry
02243;Soissons
02244;Vervins
02245;Soissons
02246;Saint-Quentin
02248;Laon
02249;Soissons
02250;Laon
02251;Vervins
02252;Laon
02253;Soissons
02254;Soissons
02255;Soissons
02256;Vervins
02257;Saint-Quentin
02258;Soissons
02259;Soissons
02260;Laon
02261;Laon
02262;Laon
02263;Soissons
02264;Vervins
02265;Vervins
02266;Vervins
02267;Soissons
02268;Château-Thierry
02269;Vervins
02270;Saint-Quentin
02271;Château-Thierry
02272;Soissons
02273;Saint-Quentin
02274;Laon
02275;Vervins
02276;Vervins
02277;Soissons
02278;Vervins
02279;Château-Thierry
02280;Château-Thierry
02281;Château-Thierry
02282;Laon
02283;Laon
02284;Vervins
02286;Vervins
02287;Saint-Quentin
02288;Saint-Quentin
02289;Château-Thierry
02290;Château-Thierry
02291;Saint-Quentin
02292;Château-Thierry
02293;Saint-Quentin
02294;Laon
02295;Vervins
02296;Saint-Quentin
02297;Château-Thierry
02298;Vervins
02299;Laon
02302;Soissons
02303;Saint-Quentin
02304;Laon
02305;Château-Thierry
